hex_id,local_temp_c,elevation_m
304,12.197297297297297,116.0
305,12.308108108108108,149.0
306,11.205405405405406,251.0
307,11.145945945945945,291.0
308,11.516216216216216,286.0
309,11.921621621621622,338.0
310,12.04054054054054,233.0
311,12.624324324324325,148.0
312,12.802702702702703,131.0
313,13.018918918918919,39.0
314,13.262162162162161,10.0
315,14.056756756756757,-1.0
316,16.12972972972973,223.0
317,18.302702702702703,263.0
318,20.945945945945947,-57.0
319,20.216216216216218,188.0
320,19.1,258.0
321,17.98918918918919,702.0
322,18.737837837837837,745.0
323,15.04054054054054,1119.0
324,8.81891891891892,2003.0
325,9.483783783783784,1961.0
326,7.948648648648649,2049.0
327,8.343243243243244,2282.0
328,9.543243243243245,1501.0
329,7.51081081081081,1904.0
330,11.121621621621621,1541.0
331,10.921621621621622,1346.0
332,10.064864864864864,1301.0
333,10.186486486486485,1113.0
334,11.456756756756755,880.0
335,11.921621621621622,641.0
336,11.85945945945946,495.0
337,12.164864864864866,359.0
338,13.54864864864865,325.0
339,13.135135135135135,241.0
340,13.36216216216216,199.0
341,12.683783783783785,201.0
342,12.08918918918919,276.0
343,12.186486486486485,130.0
344,12.332432432432432,56.0
345,12.3,60.0
346,12.378378378378379,116.0
347,11.583783783783785,141.0
348,11.305405405405406,187.0
349,11.275675675675675,238.0
350,10.31081081081081,458.0
351,11.162162162162161,219.0
352,10.283783783783784,485.0
353,11.686486486486485,234.0
354,11.575675675675676,177.0
355,12.367567567567567,162.0
356,12.54054054054054,41.0
357,12.762162162162161,24.0
358,13.402702702702703,16.0
359,16.82162162162162,17.0
360,17.82162162162162,313.0
361,15.624324324324325,1081.0
362,17.01081081081081,371.0
363,17.075675675675676,892.0
364,18.42162162162162,606.0
365,16.33243243243243,933.0
366,14.662162162162161,1018.0
367,8.735135135135135,1817.0
368,8.772972972972974,1578.0
369,7.845945945945946,2069.0
370,5.883783783783784,2511.0
371,8.962162162162162,2036.0
372,9.175675675675675,1715.0
373,8.87027027027027,2069.0
374,10.45945945945946,1455.0
375,9.662162162162161,1364.0
376,9.47027027027027,1048.0
377,10.87027027027027,856.0
378,10.67027027027027,831.0
379,10.905405405405405,705.0
380,11.22162162162162,517.0
381,11.954054054054055,327.0
382,12.118918918918919,309.0
383,12.462162162162162,206.0
384,12.121621621621621,306.0
385,10.435135135135136,508.0
386,11.097297297297297,396.0
387,11.616216216216216,136.0
388,11.248648648648649,82.0
389,11.251351351351351,69.0
390,11.25945945945946,116.0
391,11.610810810810811,113.0
392,11.232432432432432,234.0
393,10.17837837837838,330.0
394,11.305405405405406,235.0
395,8.340540540540541,833.0
396,5.5162162162162165,1331.0
397,11.108108108108109,305.0
398,11.018918918918919,207.0
399,12.09189189189189,164.0
400,12.108108108108109,52.0
401,12.894594594594595,33.0
402,12.943243243243243,9.0
403,13.872972972972972,0.0
404,24.883783783783784,156.0
405,18.986486486486488,406.0
406,17.24054054054054,88.0
407,12.578378378378378,1254.0
408,14.216216216216216,811.0
409,16.07837837837838,644.0
410,16.2972972972973,927.0
411,19.854054054054053,350.0
412,14.91891891891892,1234.0
413,9.275675675675675,1755.0
414,7.554054054054054,2187.0
415,9.154054054054054,1631.0
416,7.078378378378377,2025.0
417,7.937837837837837,2017.0
418,6.35945945945946,1969.0
419,7.075675675675676,2243.0
420,7.816216216216216,1984.0
421,7.345945945945946,2194.0
422,7.48918918918919,1846.0
423,8.802702702702703,1405.0
424,9.04864864864865,1119.0
425,9.62972972972973,912.0
426,9.74054054054054,786.0
427,10.248648648648649,615.0
428,10.58108108108108,402.0
429,10.840540540540541,295.0
430,11.67027027027027,239.0
431,11.483783783783784,205.0
432,11.424324324324324,298.0
433,11.324324324324325,276.0
434,10.472972972972974,243.0
435,10.694594594594594,183.0
436,10.63783783783784,125.0
437,11.01081081081081,84.0
438,10.497297297297298,135.0
439,10.386486486486486,249.0
440,10.72162162162162,181.0
441,9.47027027027027,326.0
442,9.47027027027027,339.0
443,10.002702702702702,303.0
444,8.643243243243244,621.0
445,9.962162162162162,573.0
